Province,Electoral District Name,Electoral District Number,Population,Electors,Polling Stations,Valid Ballots,Percentage of Valid Ballots,Rejected Ballots,Percentage of Rejected Ballots,Total Ballots Cast,Percentage of Voter Turnout,Winning Party
New Brunswick/Nouveau-Brunswick,New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest,13008,65287,53889,178,39578,99.2,301,0.8,39879,74,Conservative
New Brunswick/Nouveau-Brunswick,Saint John--Rothesay,13009,79363,63677,168,41253,99.4,250,0.6,41503,65.2,Liberal
New Brunswick/Nouveau-Brunswick,Tobique--Mactaquac,13010,68673,55287,182,38201,99,376,1,38577,69.8,Conservative
Quebec,Abitibi--Baie-James--Nunavik--Eeyou,24001,87787,65225,193,31656,97.5,828,2.5,32484,49.8,BQ
Quebec,Abitibi--Témiscamingue,24002,103491,82499,268,50155,97.9,1057,2.1,51212,62.1,BQ
Quebec,Ahuntsic-Cartierville,24003,117447,83384,229,55111,98.2,1022,1.8,56133,67.3,Liberal
Quebec,Alfred-Pellan,24004,101373,79355,211,54309,98.2,973,1.8,55282,69.7,Liberal
Quebec,Argenteuil--La Petite-Nation,24005,95781,80428,247,49997,98.4,828,1.6,50825,63.2,Liberal
Quebec,Avignon--La Mitis--Matane--Matapédia,24006,71897,59618,218,35968,98.4,591,1.6,36559,61.3,BQ
Quebec,Beauce,24007,108746,86621,240,59429,98.1,1147,1.9,60576,69.9,Conservative
Quebec,Beauport--Limoilou,24008,96029,78080,198,50191,97.5,1272,2.5,51463,65.9,BQ
Quebec,Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix,24020,93674,76657,244,50635,98.1,976,1.9,51611,67.3,BQ
Quebec,Bécancour--Nicolet--Saurel,24009,94588,79314,235,52337,98,1042,2,53379,67.3,BQ
Quebec,Bellechasse--Les Etchemins--Lévis,24010,114966,94558,289,64447,98.3,1113,1.7,65560,69.3,Conservative
Quebec,Beloeil--Chambly,24011,117343,95838,268,69490,98.5,1064,1.5,70554,73.6,BQ
Quebec,Berthier--Maskinongé,24012,100371,84645,271,56354,98.3,977,1.7,57331,67.7,BQ
